,make_model,price,km,Gears,age,hp_kW
113,Audi A1,18900,17535.0,7.0,1.0,70.0
114,Audi A1,18850,76264.0,7.0,3.0,92.0
115,Audi A1,18850,6695.0,7.0,1.0,70.0
116,Audi A1,18850,21275.0,7.0,3.0,92.0
117,Audi A1,18850,12261.0,7.0,1.0,66.0
118,Audi A1,18840,3620.0,7.0,1.0,70.0
119,Audi A1,18800,8330.0,5.0,1.0,85.0
120,Audi A1,18750,20306.0,7.0,1.0,70.0
121,Audi A1,18730,1.0,7.0,0.0,85.0
122,Audi A1,18690,31750.0,7.0,3.0,92.0
123,Audi A1,18600,19800.0,7.0,2.0,70.0
124,Audi A1,18500,52000.0,7.0,3.0,85.0
125,Audi A1,18500,15500.0,7.0,1.0,70.0
126,Audi A1,18620,25977.0,7.0,3.0,92.0
127,Audi A1,18500,9000.0,7.0,2.0,70.0
128,Audi A1,18500,65000.0,7.0,2.0,66.0
129,Audi A1,18500,14493.0,7.0,1.0,85.0
130,Audi A1,18500,33500.0,7.0,2.0,92.0
131,Audi A1,18333,4800.0,7.0,1.0,70.0
132,Audi A1,18350,51000.0,7.0,3.0,70.0
133,Audi A1,18349,7307.0,7.0,2.0,70.0
134,Audi A1,18333,5500.0,7.0,1.0,70.0
135,Audi A1,18300,35500.0,7.0,1.0,66.0
136,Audi A1,18300,18000.0,7.0,2.0,92.0
137,Audi A1,18290,40000.0,7.0,2.0,92.0
138,Audi A1,18250,14551.0,7.0,1.0,85.0
139,Audi A1,18200,16500.0,6.0,1.0,85.0
140,Audi A1,18185,26700.0,7.0,3.0,85.0
141,Audi A1,18150,8000.0,7.0,2.0,70.0
142,Audi A1,18000,15000.0,6.0,1.0,85.0
143,Audi A1,17998,14436.0,7.0,2.0,92.0
144,Audi A1,17998,72624.0,7.0,3.0,92.0
145,Audi A1,17990,13960.0,7.0,3.0,66.0
146,Audi A1,17990,40301.0,7.0,3.0,92.0
147,Audi A1,17990,19990.0,7.0,2.0,71.0
148,Audi A1,17990,3087.0,7.0,1.0,70.0
149,Audi A1,17989,37626.0,7.0,3.0,66.0
150,Audi A1,17980,22980.0,7.0,2.0,70.0
151,Audi A1,17980,57926.0,7.0,3.0,66.0
152,Audi A1,17970,3900.0,7.0,2.0,92.0
153,Audi A1,17980,7924.0,7.0,3.0,92.0
154,Audi A1,17970,6257.0,7.0,2.0,85.0
155,Audi A1,17950,29800.0,7.0,3.0,85.0
156,Audi A1,17950,35816.0,7.0,3.0,70.0
157,Audi A1,17950,12960.0,7.0,1.0,92.0
158,Audi A1,17950,8600.0,7.0,1.0,70.0
159,Audi A1,17950,14300.0,7.0,2.0,70.0
160,Audi A1,17944,9463.0,7.0,1.0,70.0
161,Audi A1,17940,20326.0,7.0,3.0,92.0
162,Audi A1,17950,70000.0,7.0,3.0,70.0
163,Audi A1,17500,23664.0,7.0,1.0,66.0
164,Audi A1,17500,51900.0,7.0,3.0,66.0
165,Audi A1,17500,15000.0,7.0,2.0,70.0
166,Audi A1,17500,33000.0,7.0,3.0,92.0
167,Audi A1,17450,12000.0,7.0,3.0,66.0
168,Audi A1,17500,42000.0,7.0,2.0,66.0
169,Audi A1,17930,25976.0,7.0,2.0,85.0
170,Audi A1,17500,26299.0,5.0,2.0,70.0
171,Audi A1,17495,40000.0,7.0,2.0,70.0
172,Audi A1,17490,36530.0,7.0,2.0,66.0
173,Audi A1,17490,29159.0,7.0,2.0,67.0
174,Audi A1,17490,55000.0,7.0,3.0,141.0
175,Audi A1,17449,40133.0,7.0,3.0,70.0
176,Audi A1,17445,38562.0,7.0,2.0,92.0
177,Audi A1,17444,7300.0,7.0,1.0,70.0
178,Audi A1,17440,10457.0,7.0,2.0,92.0
179,Audi A1,17420,27058.0,7.0,3.0,70.0
180,Audi A1,17450,38344.0,7.0,3.0,70.0
181,Audi A1,17445,45276.0,7.0,3.0,110.0
182,Audi A1,17370,16607.0,7.0,1.0,70.0
183,Audi A1,17350,26462.0,7.0,3.0,70.0
184,Audi A1,17900,62000.0,7.0,2.0,66.0
185,Audi A1,17930,40257.0,7.0,2.0,85.0
186,Audi A1,17920,36709.0,7.0,3.0,85.0
187,Audi A1,17900,25330.0,7.0,2.0,70.0
188,Audi A1,17900,11300.0,7.0,3.0,66.0
189,Audi A1,17900,10170.0,7.0,1.0,70.0
190,Audi A1,17900,12260.0,7.0,1.0,85.0
191,Audi A1,17900,44604.0,7.0,3.0,70.0
192,Audi A1,17900,25751.0,7.0,2.0,71.0
193,Audi A1,17900,13000.0,7.0,2.0,70.0
194,Audi A1,17900,63136.0,7.0,3.0,70.0
195,Audi A1,17900,21900.0,7.0,2.0,85.0
196,Audi A1,17900,23357.0,7.0,3.0,70.0
197,Audi A1,17900,40000.0,7.0,3.0,110.0
198,Audi A1,17900,63136.0,7.0,3.0,70.0
199,Audi A1,17890,27950.0,7.0,3.0,92.0
200,Audi A1,16900,3150.0,7.0,3.0,70.0
201,Audi A1,17900,4810.0,7.0,1.0,70.0
202,Audi A1,16900,32700.0,7.0,2.0,66.0
203,Audi A1,16900,67790.0,7.0,3.0,66.0
204,Audi A1,17890,63500.0,7.0,2.0,85.0
205,Audi A1,17900,37702.0,7.0,2.0,93.0
206,Audi A1,17900,40164.0,7.0,2.0,66.0
207,Audi A1,16900,47750.0,7.0,3.0,71.0
208,Audi A1,16890,39600.0,7.0,3.0,92.0
209,Audi A1,16890,29200.0,7.0,3.0,70.0
210,Audi A1,16880,32103.0,7.0,3.0,70.0
211,Audi A1,16880,19700.0,7.0,2.0,70.0
212,Audi A1,16880,6680.0,8.0,2.0,70.0
213,Audi A1,16880,49100.0,6.0,3.0,92.0
214,Audi A1,16879,30348.0,7.0,3.0,92.0
215,Audi A1,16870,7680.0,7.0,2.0,66.0
216,Audi A1,16850,36400.0,7.0,3.0,66.0
217,Audi A1,16840,49800.0,7.0,3.0,92.0
218,Audi A1,16830,50200.0,7.0,3.0,92.0
219,Audi A1,16876,47500.0,7.0,3.0,92.0
220,Audi A1,16820,24762.0,7.0,2.0,70.0
221,Audi A1,16800,36236.0,5.0,3.0,70.0
222,Audi A1,16790,38831.0,7.0,3.0,92.0
223,Audi A1,16780,18556.0,7.0,2.0,66.0
